movie_sid,movie_name,movie_score,movie_time,movie_style,movie_director
1308129,赌侠大战拉斯维加斯 賭俠大戰拉斯維加斯,6.4,1999-08-05(新加坡),喜剧 动作,刘德华 张家辉 陈百祥 林熙蕾 郁芳 万梓良 王晶 李幸芷 南燕
35315926,极地追击,3.7,2022-02-01(中国大陆网络),动作 犯罪 冒险,李治廷 屈菁菁 杨凯程 林小宅 王远达 大庆 魏允熙 伊博 克拉拉 崔雅涵 蒲熠星
1297068,中南海保镖 中南海保镳,7.8,1994-07-28(中国香港),剧情 动作,李连杰 钟丽缇 郑则仕 邹兆龙 梁荣忠 黄锦江 元奎 伍卫国 Tom Konkle 约翰·德米塔 Arianna Ratner Dean Scofield 迈克尔·索里奇 基思·弗格森 秦贵宝 江苗定
26933210,蜘蛛侠：英雄无归 Spider-Man: No Way Home,6.7,2021-12-15(中国台湾),动作 科幻 冒险,汤姆·赫兰德 赞达亚 本尼迪克特·康伯巴奇 雅各布·巴特朗 托比·马奎尔 安德鲁·加菲尔德 玛丽莎·托梅 乔恩·费儒 本尼迪克特·王 威廉·达福 阿尔弗雷德·莫里纳 托马斯·哈登·丘奇 杰米·福克斯 瑞斯·伊凡斯 J·K·西蒙斯 查理·考克斯 安格瑞·赖斯 托尼·雷沃罗利 宝拉·纽瑟姆 汉尼拔·布勒斯 马丁·斯塔尔 J·B·斯穆夫 哈龙·汗 本·范德梅 加里·维克斯 马洛里·霍夫 里贾纳·陈婷 格伦·基奥 帕丽丝·本杰明 朱万达斯·坎迪斯 泰勒·圣克莱尔 小豪尔赫·兰登伯格 何塞·阿尔弗雷多·费尔南德斯 约翰尼·塞雷 罗伯特·廷斯利 哈里·赫兰德 汤姆·哈迪 克里斯托·费尔南德斯 布莱德利·瑞安·奈斯贝尔 阿里安·莫耶德
35172696,重装战警,3.8,2022-04-01(中国大陆),动作 犯罪,陈小春 邱意浓 胡然 张艺熙
32579501,反贪风暴5：最终章 G風暴,4.6,2021-12-31(中国大陆),动作 犯罪,古天乐 张智霖 郑嘉颖 宣萱 黄宗泽 谢天华 张继聪 叶晞月 张兆辉 卢海鹏 廖启智 关礼杰 夏嫣 蔡瀚亿 丁海峰
26796664,叶问外传：张天志 葉問外傳：張天志,5.5,2018-12-21(中国大陆),剧情 动作 犯罪,张晋 戴夫·巴蒂斯塔 柳岩 杨紫琼 托尼·贾 郑嘉颖 周秀娜 谭耀文 释彦能 姜皓文 栢天男 元华 祁高坤 毕宏
26614645,鸭王2 鴨王2,4.6,2016-01-14(中国香港),剧情 情色,何浩文 林子善 文凯玲 钟采羲 梁焯满 林莉娴 何华超 梁敏仪 陈依娜 林慧倩 黃雋謙 马溱禧 姚琰欣 黄岚
26935283,侍神令,5.3,2021-02-12(中国大陆),奇幻,陈坤 周迅 陈伟霆 屈楚萧 王丽坤 沈月 王紫璇 王悦伊 孙红雷 艾米 储镒恬 李逸男 张子贤 伊然 柳文欢 王翔 吴鑫尊 陈馨妍 娄清 白云 何涌生 刘若谷 张双利 彭艺博
35068653,误杀2,5.7,2021-12-17(中国大陆),剧情 犯罪,肖央 任达华 文咏珊 陈雨锶 宋洋 李治廷 张世 尹子维 姜皓文 陈昊 周楚濋 王昊泽 强巴才丹
27018288,胆小别看,2.3,2017-04-01(中国大陆),悬疑 惊悚,王李丹妮 金龙
27619748,唐人街探案3,5.3,2021-02-12(中国大陆),喜剧 悬疑,王宝强 刘昊然 妻夫木聪 托尼·贾 长泽雅美 染谷将太 铃木保奈美 浅野忠信 三浦友和 尚语贤 肖央 张子枫 邱泽 张钧甯 马伯骞 程潇 陈哲远 李明轩 崔雨鑫 张一白 文咏珊 张熙然 克拉拉 树林伸 刘德华 陈思诚 平山日和 奥田瑛二 六平直政 酒向芳 秋山成勋 桥本爱实 长井短 宇治清高 张国强 大鹏 陈祉希 林沐然 田代良德 尚玄 下京庆子 松角洋平 松浦佐知子 饭田孝男 谷手人 古泽裕介 奥居元雅 直行·费尔南德斯
1294561,太极张三丰 太極張三豐,8.0,1993-11-18(中国香港),喜剧 动作 武侠 古装,李连杰 杨紫琼 钱小豪 袁洁莹 袁祥仁 刘洵 于海 刘立伟 孙建魁
26826330,刺杀小说家,6.5,2021-02-12(中国大陆),动作 奇幻 冒险,雷佳音 杨幂 董子健 于和伟 郭京飞 佟丽娅 董洁 王圣迪 杨轶 刘天佐 李柄辉 萧子墨 双雪涛 徐建 刘迅 任杰 陈铁军 李泰延 张优 张戈 谭天宇 虞书欣 高睿菲儿 吴振熙 黄皓达 韩陌 康嘉泽 马一萍 杨婉婷
33446684,仙书奇谭,3.9,2020-05-22(中国大陆网络),喜剧 奇幻 古装,张致恒 何蓝逗 骆应钧 王李丹妮
27186653,捉妖大仙,4.7,2018-04-01(中国大陆),喜剧 奇幻 武侠 古装,潘时七 张致恒 胡悦 王李丹妮 李健仁 曹贺
